pId,condition,timestamp,HR,HRV
p001_tamil_iteration1,2,1970-01-20T23:00:48.965+12:00,,
p001_tamil_iteration1,2,2023-04-12T09:36:07.839+12:00,,1197
p001_tamil_iteration1,2,1970-01-20T23:00:48.966+12:00,,
p001_tamil_iteration1,2,1970-01-20T23:00:48.968+12:00,,
p001_tamil_iteration1,2,2023-04-12T09:36:09.383+12:00,,1200
p001_tamil_iteration1,2,2023-04-12T09:36:10.439+12:00,,1198
p001_tamil_iteration1,2,2023-04-12T09:36:11.008+12:00,49,
p001_tamil_iteration1,2,2023-04-12T09:36:11.658+12:00,,1144
p001_tamil_iteration1,2,2023-04-12T09:36:12.958+12:00,,1162
p001_tamil_iteration1,2,2023-04-12T09:36:13.039+12:00,50,
p001_tamil_iteration1,2,2023-04-12T09:36:14.015+12:00,,1203
p001_tamil_iteration1,2,2023-04-12T09:36:15.152+12:00,,1200
p001_tamil_iteration1,2,2023-04-12T09:36:16.451+12:00,,1204
p001_tamil_iteration1,2,2023-04-12T09:36:17.667+12:00,,1212
p001_tamil_iteration1,2,2023-04-12T09:36:18.888+12:00,,1206
p001_tamil_iteration1,2,2023-04-12T09:36:19.131+12:00,49,
p001_tamil_iteration1,2,2023-04-12T09:36:20.106+12:00,50,
p001_tamil_iteration1,2,2023-04-12T09:36:20.186+12:00,,1271
p001_tamil_iteration1,2,2023-04-12T09:36:21.079+12:00,,
p001_tamil_iteration1,2,2023-04-12T09:36:21.404+12:00,,1256
p001_tamil_iteration1,2,2023-04-12T09:36:22.625+12:00,,1186
p001_tamil_iteration1,2,2023-04-12T09:36:23.763+12:00,,1189
p001_tamil_iteration1,2,2023-04-12T09:36:24.901+12:00,,1188
p001_tamil_iteration1,2,1970-01-20T23:00:48.983+12:00,,
p001_tamil_iteration1,2,2023-04-12T09:36:26.199+12:00,,1181
p001_tamil_iteration1,2,2023-04-12T09:36:27.338+12:00,,1190
p001_tamil_iteration1,2,2023-04-12T09:36:28.526+12:00,,1260
p001_tamil_iteration1,2,2023-04-12T09:36:29.727+12:00,,1249
p001_tamil_iteration1,2,2023-04-12T09:36:30.830+12:00,,1077
p001_tamil_iteration1,2,1970-01-20T23:00:48.989+12:00,,
p001_tamil_iteration1,2,2023-04-12T09:36:31.126+12:00,,
p001_tamil_iteration1,2,2023-04-12T09:36:32.003+12:00,,1202
p001_tamil_iteration1,2,1970-01-20T23:00:48.992+12:00,,
p001_tamil_iteration1,2,2023-04-12T09:36:33.400+12:00,,1217
p001_tamil_iteration1,2,2023-04-12T09:36:34.377+12:00,,1266
p001_tamil_iteration1,2,2023-04-12T09:36:36.908+12:00,,1187
p001_tamil_iteration1,2,2023-04-12T09:36:37.988+12:00,,1175
p001_tamil_iteration1,2,2023-04-12T09:36:39.125+12:00,,1176
p001_tamil_iteration1,2,2023-04-12T09:36:39.206+12:00,51,
p001_tamil_iteration1,2,2023-04-12T09:36:40.343+12:00,,1158
p001_tamil_iteration1,2,2023-04-12T09:36:41.562+12:00,,1184
p001_tamil_iteration1,2,2023-04-12T09:36:42.699+12:00,,1159
p001_tamil_iteration1,2,2023-04-12T09:36:43.839+12:00,,1154
p001_tamil_iteration1,2,2023-04-12T09:36:44.244+12:00,,
p001_tamil_iteration1,2,2023-04-12T09:36:45.057+12:00,,1180
p001_tamil_iteration1,2,2023-04-12T09:36:46.276+12:00,,1171
p001_tamil_iteration1,2,2023-04-12T09:36:46.279+12:00,,
p001_tamil_iteration1,2,2023-04-12T09:36:47.332+12:00,,1161
p001_tamil_iteration1,2,2023-04-12T09:36:48.387+12:00,,1110
p001_tamil_iteration1,2,2023-04-12T09:36:49.279+12:00,,
p001_tamil_iteration1,2,2023-04-12T09:36:49.442+12:00,,1035
p001_tamil_iteration1,2,2023-04-12T09:36:50.255+12:00,52,
p001_tamil_iteration1,2,2023-04-12T09:36:50.663+12:00,,1089
p001_tamil_iteration1,2,2023-04-12T09:36:51.311+12:00,,
p001_tamil_iteration1,2,2023-04-12T09:36:52.044+12:00,,1382
p001_tamil_iteration1,2,2023-04-12T09:36:53.259+12:00,,1220
p001_tamil_iteration1,2,2023-04-12T09:36:54.399+12:00,,1177
p001_tamil_iteration1,2,2023-04-12T09:36:55.535+12:00,,1160
p001_tamil_iteration1,2,2023-04-12T09:36:56.269+12:00,51,
p001_tamil_iteration1,2,2023-04-12T09:36:56.270+12:00,,
p001_tamil_iteration1,2,2023-04-12T09:36:56.757+12:00,,1170
p001_tamil_iteration1,2,2023-04-12T09:36:57.893+12:00,,1148
p001_tamil_iteration1,2,2023-04-12T09:36:58.300+12:00,,
p001_tamil_iteration1,2,2023-04-12T09:36:58.950+12:00,,1131
p001_tamil_iteration1,2,2023-04-12T09:37:00.088+12:00,,1108
p001_tamil_iteration1,2,2023-04-12T09:37:01.306+12:00,,
p001_tamil_iteration1,2,2023-04-12T09:37:01.307+12:00,,
p001_tamil_iteration1,2,2023-04-12T09:37:01.387+12:00,,1184
p001_tamil_iteration1,2,2023-04-12T09:37:02.363+12:00,52,
p001_tamil_iteration1,2,2023-04-12T09:37:02.525+12:00,,1211
p001_tamil_iteration1,2,2023-04-12T09:37:03.663+12:00,,1204
p001_tamil_iteration1,2,2023-04-12T09:37:04.394+12:00,51,
p001_tamil_iteration1,2,2023-04-12T09:37:04.395+12:00,,
p001_tamil_iteration1,2,2023-04-12T09:37:04.882+12:00,,1186
p001_tamil_iteration1,2,2023-04-12T09:37:06.181+12:00,,1180
p001_tamil_iteration1,2,2023-04-12T09:37:07.239+12:00,,1177
p001_tamil_iteration1,2,2023-04-12T09:37:08.456+12:00,,1201
p001_tamil_iteration1,2,2023-04-12T09:37:09.349+12:00,,
p001_tamil_iteration1,2,2023-04-12T09:37:09.675+12:00,,1229
p001_tamil_iteration1,2,2023-04-12T09:37:10.976+12:00,,1183
p001_tamil_iteration1,2,2023-04-12T09:37:11.463+12:00,,
p001_tamil_iteration1,2,2023-04-12T09:37:12.032+12:00,,1183
p001_tamil_iteration1,2,2023-04-12T09:37:13.168+12:00,,1155
p001_tamil_iteration1,2,2023-04-12T09:37:13.412+12:00,,
p001_tamil_iteration1,2,2023-04-12T09:37:14.386+12:00,,1157
p001_tamil_iteration1,2,2023-04-12T09:37:15.444+12:00,,1148
p001_tamil_iteration1,2,2023-04-12T09:37:16.419+12:00,,
